departement,nom_reel,pop_2012,longitude_degre,latitude_degre
78,Viroflay,16100,2.16667,48.8
31,Plaisance-du-Touch,16000,1.3,43.5667
33,Floirac,16000,-0.533333,44.8333
78,Limay,16000,1.73333,48.9833
9,Pamiers,15900,1.6,43.1167
31,Cugnaux,15900,1.36667,43.5333
77,Brie-Comte-Robert,15900,2.61667,48.6833
83,Brignoles,15900,6.06667,43.4
95,Osny,15900,2.06667,49.0667
34,Mauguio,15800,4.01667,43.6167
37,Saint-Cyr-sur-Loire,15800,0.666667,47.4
38,Saint-Égrève,15800,5.68306,45.2317
55,Bar-le-Duc,15800,5.16667,48.7833
19,Tulle,15700,1.76667,45.2667
28,Lucé,15700,1.46667,48.4333
61,Flers,15700,-0.566667,48.75
91,Verrières-le-Buisson,15700,2.26667,48.75
94,Boissy-Saint-Léger,15700,2.51667,48.75
95,Vauréal,15700,2.03333,49.0333
29,Morlaix,15600,-3.83333,48.5833
35,Bruz,15600,-1.75,48.0333
74,Sallanches,15600,6.63333,45.9333
77,Noisiel,15600,2.63333,48.85
30,Beaucaire,15500,4.63333,43.8
37,Saint-Pierre-des-Corps,15500,0.733333,47.3833
45,Montargis,15500,2.75,48
13,Fos-sur-Mer,15400,4.95,43.4333
57,Hayange,15400,6.05,49.3333
65,Lourdes,15400,-0.05,43.1
72,La Flèche,15400,-0.083333,47.7
77,Fontainebleau,15400,2.7,48.4
78,Carrières-sur-Seine,15400,2.18333,48.9167
78,Verneuil-sur-Seine,15400,1.98333,48.9833
38,L'Isle-d'Abeau,15300,5.23333,45.6167
45,Gien,15300,2.63333,47.7
45,Saran,15300,1.88333,47.95
94,Bry-sur-Marne,15300,2.51667,48.8333
35,Cesson-Sévigné,15200,-1.6,48.125
44,Guérande,15200,-2.43333,47.3333
29,Douarnenez,15100,-4.33333,48.1
62,Berck,15100,1.59278,50.4084
78,Montesson,15100,2.15,48.9167
29,Landerneau,15000,-4.25,48.45
34,Castelnau-le-Lez,15000,3.9,43.6333
62,Saint-Omer,15000,2.25,50.75
77,Lognes,15000,2.61667,48.8333
85,Sables-d'Olonne,15000,-1.78333,46.5
42,Montbrison,14900,4.05,45.6
54,Laxou,14900,6.15,48.6833
71,Autun,14900,4.3,46.95
2,Château-Thierry,14800,3.4,49.05
13,Châteaurenard,14800,4.85,43.8833
33,Blanquefort,14800,-0.633333,44.9167
42,Rive-de-Gier,14800,4.61667,45.5333
54,Villers-lès-Nancy,14800,6.15,48.6667
76,Canteleu,14800,1.03333,49.45
85,Herbiers,14800,-1.01667,46.8667
59,Hautmont,14700,3.93333,50.25
95,Saint-Leu-la-Forêt,14700,2.25,49.0167
56,Hennebont,14600,-3.28333,47.8
68,Illzach,14600,7.33333,47.7833
94,Saint-Maurice,14600,2.45833,48.8167
95,Domont,14600,2.33333,49.0333
2,Tergnier,14500,3.3,49.65
21,Chenôve,14500,5,47.2833
25,Audincourt,14500,6.83333,47.4833
42,Saint-Just-Saint-Rambert,14500,4.24,45.4995
59,Haubourdin,14500,2.98333,50.6
78,Carrières-sous-Poissy,14500,2.03333,48.95
6,Villeneuve-Loubet,14400,7.11667,43.65
61,Argentan,14400,-0.016667,48.75
62,Outreau,14400,1.58333,50.7
91,Juvisy-sur-Orge,14400,2.38333,48.6833
54,Pont-à-Mousson,14300,6.06667,48.9
68,Wittenheim,14300,7.33333,47.8167
85,Fontenay-le-Comte,14300,-0.816667,46.4667
95,Saint-Brice-sous-Forêt,14300,2.36667,49
51,Vitry-le-François,14200,4.58333,48.7333
54,Longwy,14200,5.76667,49.5167
63,Issoire,14200,3.25,45.55
77,Avon,14200,2.71667,48.4
6,Beausoleil,14100,7.43333,43.75
23,Guéret,14100,1.86667,46.1667
33,Bruges,14100,-0.616667,44.8833
64,Hendaye,14100,-1.775,43.3583
84,Bollène,14100,4.75,44.2833
